comunidad_autonoma,provincia,clubes
castilla-lamancha,toledo,mastertoledo3culturas
regiondemurcia,murcia,molinan.c.
castillayleon,leon,n.casadeasturias
catalunya,barcelona,nataciojoanpelegri
andalucia,sevilla,"natacionsevillamaster,c.d."
andalucia,cordoba,navial
cantabria,cantabria,nojagoldenbeach
castillayleon,valladolid,o.n.c.e.cast.-leon
paisvasco,guipuzcoa,oarsoaldeaigeriketakirolelkartea
paisvasco,vizcaya,ondarruigeritaldea
paisvasco,guipuzcoa,ordiziak.e.
andalucia,jaen,p.a.andujar
castilla-lamancha,toledo,p.d.m.toledo
aragon,teruel,p.m.d.alcañiz
catalunya,barcelona,p.s.familia-horta
aragon,zaragoza,p.sanagustin
catalunya,barcelona,"piri,aecevilassardemar"
,,portugal
cantabria,cantabria,pretiumribamontanswimclub
castilla-lamancha,ciudadreal,puertollanoatletico
castillayleon,leon,r.aeroclubdeleon
galicia,lugo,r.aeroclubdelugo
paisvasco,vizcaya,r.c.jolaseta
andalucia,malaga,r.c.mediterraneo
galicia,pontevedra,r.c.n.vigo
canarias,santacruzdetenerife,r.c.naut.tenerife
andalucia,cadiz,r.c.nautico
andalucia,granada,r.c.nauticodemotril
andalucia,cadiz,r.c.nauticolalinea
principadodeasturias,asturias,r.c.nauticosalinas
andalucia,sevilla,r.c.pinedadesevilla
comunidadvalenciana,alicante,r.c.regatas
paisvasco,guipuzcoa,r.c.tenis
andalucia,sevilla,r.circulolabradores
,,r.f.e.n.
principadodeasturias,asturias,r.g.c.covadonga
comunidaddemadrid,madrid,race
islasbaleares,baleares,rafanadalcentertennisclub
comunidaddemadrid,madrid,realcanoen.c.
canarias,laspalmas,realclubvictoria
galicia,acoruña,realsocidadd.hipica
comunidadforaldenavarra,navarra,riberamediac.n.
galicia,pontevedra,s.a.redondela
catalunya,barcelona,s.a.suria
